W/L,Outcome Type,Win or Loss Reasons- (New CRM PickList),Old PickList (for mapping),Definitions,Control Level,Cont/UnCont Definitions
Loss Reason,Product Strength,Data Coverage Did Not Meet Requirements,Missing Data (Specify in Notes),"Required macroeconomic series, geographies, frequencies, or history were unavailable.",Partially Controllable,"Influenced by data acquisition strategy and roadmap, but rarely fixable in-cycle."
Loss Reason,Product Strength,Platform Usability or Data Structure Limitations,User interface & Data structure,"Data format, metadata, or organization did not support the client’s workflow.",Controllable,"Directly tied to product design, UX, and enablement."
Loss Reason,Product Strength,Visualization or Analytical Capabilities Insufficient,Charting & Visualization,"Charting, modeling, or analytical features were insufficient for intended use cases.",Controllable,"Product functionality, roadmap prioritization, and positioning."
Loss Reason,Product Strength,AI Capabilities Did Not Meet Expectations,,"Customer required AI-driven functionality that was missing, weaker, or less trusted than alternatives.",Controllable,"Feature design, augmentation value, intelligence provided"
Loss Reason,Technology & Integration,Integration Constraints to other Tools,Interconnectivity with existing tools,"Limited interoperability with internal tools (Excel, Python, BI tools, proprietary systems).",Partially Controllable,"APIs, integrations, security posture can be improved, but client IT policies vary."
Loss Reason,Technology & Integration,IT Environment Constraints,IT integration issues,"Client IT policies prevented installation, access, or cloud usage.",Partially Controllable,"APIs, integrations, security posture can be improved, but client IT policies vary."
Loss Reason,Commercial,Insufficient Business Value Relative to Cost,Budget – Insufficient value-add,Customer did not perceive sufficient incremental value to justify purchase.,Controllable,"Sales messaging, use-case framing, ROI articulation."
Loss Reason,Commercial,Budget or Pricing Constraints,Budget – Expensive vs alternatives,Budget unavailable or pricing exceeded acceptable thresholds.,Partially Controllable,"Pricing, packaging, and deal structure help, but budgets may be fixed."
Loss Reason,Competitive,Competitive Solution Selected,Alternative solution / competitor response,"Customer chose a competitor, internal solution, or alternative provider.",Partially Controllable,"Competitive positioning matters, but outcomes depend on buyer strategy."
Loss Reason,Competitive,Internal/Build Solution Preferred,Alternative solution / competitor response,"Customer opted to rely on in-house data, models, or tooling.",Partially Controllable,"Standard terms, data licensing, and legal responsiveness can reduce friction."
Loss Reason,"Legal, Compliance, Procurement",Legal or Compliance Restrictions,Legal – Compliance,"Data licensing, regulatory, or compliance concerns could not be resolved.",Partially Controllable,"Standard terms, data licensing, and legal responsiveness can reduce friction."
Loss Reason,"Legal, Compliance, Procurement",Contract Terms not Agreed,Legal – Agreement on terms,"Legal, procurement, or commercial terms stalled or blocked approval.",Partially Controllable,"Standard terms, data licensing, and legal responsiveness can reduce friction."
Loss Reason,Timing & Org Change,Change in Scope or Priorities,Timing – Due to change in scope,Project objectives changed or were deprioritized.,Uncontrollable,External business dynamics and personnel changes.
Loss Reason,Timing & Org Change,Organizational Change/User Transfer,User Transfer,"Champion left, team restructured, or ownership changed.",Uncontrollable,External business dynamics and personnel changes.
Loss Reason,No New Demand,Existing License Coverage,Spare license found,Adequate licenses already available internally.,Uncontrollable,Already satisfied demand; no net-new need.
Loss Reason,Process/Admin Closure,License Consolidation or Reduction,,Customer reduced overall usage footprint.,Controllable,"Onboarding, customer success, outcomes"
